sourcePath	sourceLine	functionVa	functionName	pushLineAt	pushPathAt	pairingMode	interveningInstructions	consumerAt	consumerVa	consumerName
C:\dev\ONSLAUGHT2\Carrier.cpp	26	0x00421A80	CCarrier__Init	0x00421ABE	0x00421AC0	ADJACENT	0	0x00421ACE	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Carrier.cpp	26	0x005D1840	Unwind@005d1840	0x005D1840	0x005D1842	ADJACENT	0	0x005D184D	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Carrier.cpp	27	0x00421A80	CCarrier__Init	0x00421AF7	0x00421AF9	ADJACENT	0	0x00421B15	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Carrier.cpp	27	0x005D1856	Unwind@005d1856	0x005D1856	0x005D1858	ADJACENT	0	0x005D1863	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Carver.cpp	22	0x005D18B0	Unwind@005d18b0	0x005D18B0	0x005D18B2	ADJACENT	0	0x005D18BD	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Carver.cpp	23	0x005D18C6	Unwind@005d18c6	0x005D18C6	0x005D18C8	ADJACENT	0	0x005D18D3	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\chunker.cpp	98	0x004237D0	CChunkReader__ctor	0x004237E7	0x004237EB	STACK_STABLE_GAP	1	0x004237FC	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\chunker.cpp	98	0x005D1940	Unwind@005d1940	0x005D1940	0x005D1942	ADJACENT	0	0x005D194D	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\CollisionSeekingRound.cpp	27	0x00425B50	CCollisionSeekingRound__InitCollisionLineAndSound	0x00425B84	0x00425B86	ADJACENT	0	0x00425B9A	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\collisionseekingthing.cpp	40	0x00426150	CCollisionSeekingThing__Init	0x004261BC	0x004261BE	ADJACENT	0	0x004261CC	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\collisionseekingthing.cpp	57	0x00426150	CCollisionSeekingThing__Init	0x00426278	0x0042627A	ADJACENT	0	0x00426288	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\collisionseekingthing.cpp	314	0x00426A40	CCSRay__CreateEffect	0x00426ACE	0x00426AD3	ADJACENT	0	0x00426AED	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Component.cpp	77	0x00427CD0	CComponent__CreateSubComponent1	0x00427CE7	0x00427CEB	STACK_STABLE_GAP	1	0x00427CF9	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Component.cpp	77	0x005D19E0	Unwind@005d19e0	0x005D19E0	0x005D19E2	ADJACENT	0	0x005D19ED	0x00449D40	OID__FreeObject_Callback
